SampleID	Filepath	Model	TL1A	Genotype	Sex
226	trim_JJ1715_226_S1_R1_001.fastq_paired.fq_quant	HFD	NA	WT	Male
227	trim_JJ1715_227_S95_R1_001.fastq_paired.fq_quant	HFD	NA	WT	Male
228	trim_JJ1715_228_S85_R1_001.fastq_paired.fq_quant	HFD	NA	MUT	Male
229	trim_JJ1715_229_S5_R1_001.fastq_paired.fq_quant	HFD	NA	HET	Male
230	trim_JJ1715_230_S93_R1_001.fastq_paired.fq_quant	HFD	NA	HET	Male
232	trim_JJ1715_232_S87_R1_001.fastq_paired.fq_quant	HFD	NA	WT	Female
235	trim_JJ1715_235_S10_R1_001.fastq_paired.fq_quant	HFD	NA	WT	Female
236	trim_JJ1715_236_S4_R1_001.fastq_paired.fq_quant	HFD	NA	WT	Female
237	trim_JJ1715_237_S2_R1_001.fastq_paired.fq_quant	HFD	NA	WT	Male
238	trim_JJ1715_238_S94_R1_001.fastq_paired.fq_quant	HFD	NA	HET	Male
264	trim_JJ1715_264_S86_R1_001.fastq_paired.fq_quant	HFD	NA	MUT	Male
26	trim_JJ1715_26_S89_R1_001.fastq_paired.fq_quant	HFD	NA	HET	Female
276	trim_JJ1715_276_S88_R1_001.fastq_paired.fq_quant	HFD	NA	WT	Male
299	trim_JJ1715_299_S84_R1_001.fastq_paired.fq_quant	HFD	NA	MUT	Male
305	trim_JJ1715_305_S92_R1_001.fastq_paired.fq_quant	HFD	NA	MUT	Male
346	trim_JJ1715_346_S83_R1_001.fastq_paired.fq_quant	HFD	NA	WT	Male
348	trim_JJ1715_348_S11_R1_001.fastq_paired.fq_quant	HFD	NA	HET	Female
350	trim_JJ1715_350_S22_R1_001.fastq_paired.fq_quant	HFD	NA	HET	Male
352	trim_JJ1715_352_S3_R1_001.fastq_paired.fq_quant	HFD	NA	WT	Female
353	trim_JJ1715_353_S91_R1_001.fastq_paired.fq_quant	HFD	NA	MUT	Female
369	trim_JJ1715_369_S6_R1_001.fastq_paired.fq_quant	HFD	NA	MUT	Female
371	trim_JJ1715_371_S90_R1_001.fastq_paired.fq_quant	HFD	NA	WT	Female
373	trim_JJ1715_373_S13_R1_001.fastq_paired.fq_quant	HFD	NA	HET	Male
375	trim_JJ1715_375_S8_R1_001.fastq_paired.fq_quant	HFD	NA	WT	Male
379	trim_JJ1715_379_S16_R1_001.fastq_paired.fq_quant	HFD	NA	HET	Female
380	trim_JJ1715_380_S9_R1_001.fastq_paired.fq_quant	HFD	NA	HET	Female
381	trim_JJ1715_381_S12_R1_001.fastq_paired.fq_quant	HFD	NA	MUT	Female
384	trim_JJ1715_384_S15_R1_001.fastq_paired.fq_quant	HFD	NA	HET	Female
385	trim_JJ1715_385_S23_R1_001.fastq_paired.fq_quant	HFD	NA	HET	Male
389	trim_JJ1715_389_S17_R1_001.fastq_paired.fq_quant	HFD	NA	WT	Male
390	trim_JJ1715_390_S7_R1_001.fastq_paired.fq_quant	HFD	NA	MUT	Female
397	trim_JJ1715_397_S20_R1_001.fastq_paired.fq_quant	HFD	NA	WT	Male
429	trim_JJ1715_429_S21_R1_001.fastq_paired.fq_quant	HFD	NA	HET	Female
451	trim_JJ1715_451_S81_R1_001.fastq_paired.fq_quant	HFD	NA	MUT	Male
497	trim_JJ1715_497_S19_R1_001.fastq_paired.fq_quant	HFD	NA	HET	Female
498	trim_JJ1715_498_S82_R1_001.fastq_paired.fq_quant	HFD	NA	MUT	Female
499	trim_JJ1715_499_S96_R1_001.fastq_paired.fq_quant	HFD	NA	MUT	Male
500	trim_JJ1715_500_S18_R1_001.fastq_paired.fq_quant	HFD	NA	HET	Male
50	trim_JJ1715_50_S14_R1_001.fastq_paired.fq_quant	HFD	NA	HET	Male
114	trim_JJ1715_114_S17_R1_001.fastq_paired.fq_quant	SLC_TL1A	Negative  	WT 	Male
116	trim_JJ1715_116_S51_R1_001.fastq_paired.fq_quant	SLC_TL1A	Negative  	HET 	Male
119	trim_JJ1715_119_S49_R1_001.fastq_paired.fq_quant	SLC_TL1A	Positive  	MUT 	Male
123	trim_JJ1715_123_S77_R1_001.fastq_paired.fq_quant	SLC_TL1A	Negative  	MUT 	Female
125	trim_JJ1715_125_S50_R1_001.fastq_paired.fq_quant	SLC_TL1A	Positive  	WT 	Female
129	trim_JJ1715_129_S76_R1_001.fastq_paired.fq_quant	SLC_TL1A	Negative  	WT 	Male
135	trim_JJ1715_135_S16_R1_001.fastq_paired.fq_quant	SLC_TL1A	Positive  	MUT 	Female
138	trim_JJ1715_138_S48_R1_001.fastq_paired.fq_quant	SLC_TL1A	Negative  	WT 	Female
183	trim_JJ1715_183_S58_R1_001.fastq_paired.fq_quant	SLC_TL1A	Negative  	HET 	Male
184	trim_JJ1715_184_S57_R1_001.fastq_paired.fq_quant	SLC_TL1A	Negative  	HET 	Male
185	trim_JJ1715_185_S56_R1_001.fastq_paired.fq_quant	SLC_TL1A	Positive  	HET 	Male
194	trim_JJ1715_194_S59_R1_001.fastq_paired.fq_quant	SLC_TL1A	Negative  	MUT 	Female
195	trim_JJ1715_195_S55_R1_001.fastq_paired.fq_quant	SLC_TL1A	Negative  	MUT 	Female
211	trim_JJ1715_211_S60_R1_001.fastq_paired.fq_quant	SLC_TL1A	Negative  	MUT 	Male
223	trim_JJ1715_223_S67_R1_001.fastq_paired.fq_quant	SLC_TL1A	Positive  	WT 	Male
224	trim_JJ1715_224_S64_R1_001.fastq_paired.fq_quant	SLC_TL1A	Negative  	MUT 	Male
240	trim_JJ1715_240_S62_R1_001.fastq_paired.fq_quant	SLC_TL1A	Negative  	WT 	Female
241	trim_JJ1715_241_S65_R1_001.fastq_paired.fq_quant	SLC_TL1A	Positive  	MUT 	Female
242	trim_JJ1715_242_S61_R1_001.fastq_paired.fq_quant	SLC_TL1A	Negative  	MUT 	Male
244	trim_JJ1715_244_S75_R1_001.fastq_paired.fq_quant	SLC_TL1A	Negative  	HET 	Male
247	trim_JJ1715_247_S70_R1_001.fastq_paired.fq_quant	SLC_TL1A	Negative  	WT 	Male
248	trim_JJ1715_248_S73_R1_001.fastq_paired.fq_quant	SLC_TL1A	Negative  	WT 	Male
252	trim_JJ1715_252_S74_R1_001.fastq_paired.fq_quant	SLC_TL1A	Negative  	MUT 	Female
253	trim_JJ1715_253_S63_R1_001.fastq_paired.fq_quant	SLC_TL1A	Positive  	MUT 	Female
