plate ID,Mouse ID,Genotype,Sex,Result,Result 2,Result*5,Result2 *5,Mean,,,Mouse ID,SLC_Genotype,Sex
7.4.23,153,WT,M,143.224,126.933,716.12,634.665,675.3925,,,47,WT,Male
,155,WT,M,165.622,140.727,828.11,703.635,765.8725,,,86,WT,Male
,17,WT,M,130.944,210.113,654.72,1050.565,852.6425,,,95,WT,Female
,88,WT,M,135.431,187.376,677.155,936.88,807.0175,775.23125,,190,WT,Female
,110,WT,F,154.109,149.895,770.545,749.475,760.01,,,134,MUT,Male
,103,WT,F,157.458,223.239,787.29,1116.195,951.7425,,,136,MUT,Male
,101,WT,F,230.981,197.289,1154.905,986.445,1070.675,927.4758333,840.4789286,129,MUT,Female
,18,MUT,M,233.513,297.18,1167.565,1485.9,1326.7325,,,175,MUT,Female
,15,MUT,M,237.909,291.599,1189.545,1457.995,1323.77,,,87,WT,Male
,16,MUT,M,178.879,176.901,894.395,884.505,889.45,,,48,WT,Male
,75,MUT,M,197.398,244.476,986.99,1222.38,1104.685,1161.159375,,97,WT,Female
,141,MUT,F,232.397,214.087,1161.985,1070.435,1116.21,,,135,MUT,Male
,142,MUT,F,243.979,290.512,1219.895,1452.56,1336.2275,,,111,MUT,Male
,143,MUT,F,265.745,298.176,1328.725,1192.704,1260.7145,1237.717333,1193.969929,163,MUT,Female
,,,,,,,,,,,162,MUT,Female
plate ID,Mouse ID,Genotype,Sex,Result,Result 2,Result*6,Result2 *6,Mean,,,21,WT,Male
7.5.23,160,WT,M,88.905,107.28,533.43,643.68,588.555,,,131,WT,Male
,89,WT,F,96.18,223.354,577.08,1116.77,846.925,717.74,,94,WT,Female
,158,MUT,M,111.642,135.623,669.852,678.115,673.9835,,,93,WT,Female
,137,MUT,M,140.859,155.457,845.154,777.285,811.2195,,,19,MUT,Male
,193,MUT,F,138.777,158.707,832.662,793.535,813.0985,766.1005,,22,MUT,Male
7.14.23,91,,,169.41,,,,,,,150,MUT,Female
7.14.24,90,,,211.047,,,,,,,108,MUT,Female
7.14.25,144,,,160.589,,,,,,,133,WT,Male
7.14.26,191,,,160.761,,,,,,,132,WT,Male
7.14.27,109,,,224.539,,,,,,,108,MUT,Female
7.14.28,192,,,217.405,,,,,,,184,WT,Female
7.14.29,159,,,169.75,,,,,,,20,MUT,Male
,156,,,178.287,,,,,,,23,MUT,Male
,197,,,260.833,,,,,,,147,MUT,Female
,152,,,129.611,,,,,,,112,MUT,Female
,,,,,,,,,,,197,WT,Male
,,,,,,,,,,,152,WT,Male
,,,,,,,,,,,89,WT,Female
,,,,,,,,,,,90,WT,Female
,,,,,,,,,,,75,MUT,Male
,,,,,,,,,,,16,MUT,Male
,,,,,,,,,,,143,MUT,Female
,,,,,,,,,,,141,MUT,Female
,,,,,,,,,,,194,WT,Male
,,,,,,,,,,,160,WT,Male
,,,,,,,,,,,144,WT,Female
,,,,,,,,,,,91,WT,Female
,,,,,,,,,,,18,MUT,Male
,,,,,,,,,,,15,MUT,Male
,,,,,,,,,,,142,MUT,Female
,,,,,,,,,,,17,WT,Male
,,,,,,,,,,,153,WT,Male
,,,,,,,,,,,110,WT,Female
,,,,,,,,,,,101,WT,Female
,,,,,,,,,,,159,MUT,Male
,,,,,,,,,,,156,MUT,Male
,,,,,,,,,,,191,MUT,Female
,,,,,,,,,,,109,MUT,Female
,,,,,,,,,,,88,WT,Male
,,,,,,,,,,,155,WT,Male
,,,,,,,,,,,103,WT,Female
,,,,,,,,,,,137,MUT,Male
,,,,,,,,,,,158,MUT,Male
,,,,,,,,,,,193,MUT,Female
,,,,,,,,,,,192,MUT,Female
